"Item","Plat","Status"
"Armored Evade","20","Buying"
"Imperator Vandal Receiver","20","Online"
"Meteor Munitions","20","Buying"
"Trinity Prime Chassis","19","Online"
"Axi R3 Radiant","19","Offline"
"Mantis Set","19","Online"
"Arcane Scorpion Ash Helmet","19","Online"
"Meso E3 Radiant","19","Offline"
"Axi T3 Radiant","19","Offline"
"Grendel Neuroptics Locator","19","Offline"
"Quick Escape","19","Online"
"Neo V1 Intact","19","Online"
"Vasca Kavat Imprint","19","Online"
"Lua Lens Blueprint","19","Online"
"Meso E2 Radiant","19","Online"
"Lua Nursery Scene","19","Offline"
"Fleeting Expertise","19","Online"
"Meso S4 Intact","19","Online"
"Toxic Sequence","19","Online"
"Gale Kick","19","Online"
"Meso M1 Intact","19","Offline"
"Axi O3 Radiant","19","Offline"
"Meso N2 Radiant","19","Offline"
"Neo F1 Radiant","19","Offline"
"Neo N7 Radiant","19","Offline"
"Gram Prime Set","19","Online"
"Peculiar Bloom","19","Online"
"Peculiar Growth","19","Online"
"Hyperstrike (Sigma)","19","Online"
"Security Override","19","Offline"
"Axi V3 Intact","19","Offline"
"Frost Prime Systems","19","Online"
"Anti-Grav Array","19","Online"
"Entropy Detonation","19","Online"
"Aero Agility","19","Online"
"Equinox Prime Systems","19","Online"
"Strain Eruption","19","Online"
"Loot Detector","19","Online"
"Icy Avalanche","19","Online"
"Neo S13 Intact","19","Online"
"Neo S2 Intact","19","Online"
"Meso S3 Flawless","19","Offline"
"Zambuka Ayatan Sculpture","19","Online"
"Neo N5 Intact","19","Offline"
"Adaptation","19","Online"
"Thrash Landing","19","Online"
"Requiem I Radiant","19","Online"
"Axi M1 Radiant","19","Offline"
"Meso N6 Exceptional","19","Offline"
"Magus Overload","19","Online"
"Lith A1 Radiant","19","Offline"
"Entropy Flight","19","Online"
"Grendel Systems Locator","19","Offline"
"Tiberon Prime Set","19","Online"
"Axi B2 Radiant","19","Offline"
"Destreza Prime Set","19","Online"
"Stradavar Prime Set","19","Online"
"Ember Prime Chassis","19","Online"
"Lith O2 Exceptional","19","Offline"
"Lith V3 Exceptional","19","Offline"
"Baza Prime Blueprint","19","Online"
"Axi E2 Radiant","19","Offline"
"Kavasa Prime Collar Buckle","19","Online"
"Axi S5 Radiant","19","Offline"
"Aksomati Prime Barrel","19","Online"
"Lith K1 Radiant","19","Offline"
"Meso N8 Radiant","19","Offline"
"Karak Wraith Stock","19","Online"
"Latron Prime Stock","19","Online"
"Strun Wraith Stock","19","Online"
"Itzal Systems","19","Online"
"Rejuvenation","19","Online"
"Section Density (Zetki)","19","Online"
"Exodia Brave","19","Online"
"Vaykor Hek","19","Online"
"Primed Heavy Trauma","19","Online"
"Lock and Load","19","Online"
"Meso H1 Radiant","19","Offline"
"Omega Beacon","19","Online"
"Intruder Stasis","19","Online"
"Fragor Prime Set","19","Online"
"Axi E1 Exceptional","19","Offline"
"Wyrm Prime Systems","19","Online"
"Meso C2 Intact","19","Offline"
"Polar Coil (Lavan)","19","Offline"
"Neo H1 Radiant","19","Offline"
"Meso S2 Intact","19","Online"
"Gamma Beacon","19","Online"
"Exodia Triumph","19","Online"
"Zodiac Shred","19","Online"
"Smite Corrupted","19","Online"
"Ballistic Bullseye","19","Online"
"Bane of Corrupted","19","Online"
"Gladiator Might","19","Online"
"Furax Wraith Set","19","Online"
"Sahasa Kubrow Imprint","19","Online"
"Twitch","19","Online"
"Spira Prime Pouch","19","Online"
"Winged Force (Lavan)","19","Online"
"Corrosive Projection","18","Online"
"Axi A3 Radiant","18","Offline"
"Gram Prime Handle","18","Online"
"Wild Frenzy","18","Online"
"Augur Reach","18","Online"
"Axi V7 Radiant","18","Offline"
"Sands of Inaros","18","Online"
"Strafing Slide","18","Online"
"Neo B3 Radiant","18","Offline"
"Strain Infection","18","Online"
"Centaur Aegis","18","Online"
"Meso V1 Intact","18","Online"
"Death Blossom","18","Online"
"Reaper Prime Blueprint","18","Online"
"Bite","18","Online"
"Loki Prime Chassis","18","Online"
"Overextended","18","Online"
"Strain Fever","18","Online"
"Chroma Prime Systems","18","Online"
"Axi A6 Radiant","18","Online"
"Final Harbinger","18","Online"
"Transient Fortitude","18","Online"
"Elytron Harness","18","Offline"
"Kavat's Grace","18","Online"
"Steel Charge","18","Online"
"Axi R1 Radiant","18","Offline"
"Meso V1 Radiant","18","Offline"
"Shatter Burst","18","Online"
"Vasto Prime Blueprint","18","Online"
"Double-Barrel Drift","18","Online"
"Reaper Prime Blade","17","Online"
"Flow Burn","17","Online"
"Odonata Prime Wings","17","Online"
"Neutralizing Justice","17","Online"
"Banshee Prime Chassis","17","Online"
"Neo C1 Radiant","17","Online"
"Savior Decoy","17","Online"
"Scan Matter","17","Online"
"Ember Prime Neuroptics","17","Online"
"Shock Trooper","17","Online"
"Exodia Contagion","17","Online"
"Heavy Caliber","17","Online"
"Blind Rage","17","Online"
"Piercing Roar","17","Online"
"Narrow Minded","17","Online"
"Eidolon Lens Blueprint","17","Online"
"Negation Swarm","17","Online"
"Zephyr Prime Blueprint","17","Online"
"Magus Anomaly","17","Online"
"Tectonic Fracture","17","Online"
"Neo N4 Radiant","17","Offline"
"Tactical Reload","17","Online"
"Safeguard Switch","17","Online"
"Creeping Terrify","17","Online"
"Lith G1 Intact","17","Online"
"Lith N2 Intact","17","Online"
"Shattering Justice","17","Online"
"Sybaris Prime Barrel","17","Online"
"Neo M1 Flawless","17","Offline"
"Grineer Forest Industry Scene","16","Online"
"Repelling Bastille","16","Online"
"Loki Prime Neuroptics","16","Online"
"Auto Breach","16","Online"
"Shred Shot","15","Buying"
"Cyngas Stock","15","Online"
"Bounty Hunter","15","Buying"
"Impaler Munitions","15","Buying"
"Vectis Prime Receiver","15","Online"
"Flak Shot","15","Buying"
"Serrated Rounds","15","Buying"
"Crash Shot","15","Buying"
"Chesa Kubrow Imprint","14","Online"
"Neo R1 Intact","14","Online"
"Energy Transfer","14","Online"
"Axi H4 Radiant","14","Offline"
"Primal Rage","14","Online"
"Furious Javelin","14","Online"
"Neo N9 Radiant","14","Offline"
"Axi S4 Intact","14","Online"
"Huras Kubrow Imprint","14","Online"
"Lith M2 Radiant","14","Offline"
"Photon Repeater","14","Online"
"Snipetron Vandal Set","14","Online"
"Peaceful Provocation","14","Online"
"Neo V7 Radiant","14","Offline"
"Phaedra Barrel","14","Online"
"Meso D4 Exceptional","14","Offline"
"Staggering Shield","14","Online"
